ID,name,package,function_name,input,output,link_docu,link_article,link_develRepo,link_example,arguments,description,comment1,comment2
1,pcalg::pc,pcalg,pc,sufficient statistic,S4 object pcAlgo,https://cran.r-project.org/web/packages/pcalg/vignettes/vignette2018.pdf,https://www.jstatsoft.org/article/view/v047i11,NA,pcalg_pc.R,NA,Constraint-based learning using the PC algorithm, Defaults to the stable version of the algorithm (i.e. less order dependence).,"User-supplied restrictions on edge orientation is only possible after the structure has been learned, and afterwards, the algorithmic edge orientation step may be repeated. "
2,pcalg::fci,pcalg,fci,sufficient statistic,S4 object fciAlgo,https://cran.r-project.org/web/packages/pcalg/vignettes/vignette2018.pdf,https://www.jstatsoft.org/article/view/v047i11,NA,pcalg_fci.R,NA,Constraint-based learning  from data where the data generating mechanism may include latent variables using the FCI algorithm, Defaults to the stable version of the algorithm (i.e. less order dependence).,NA
3,pcalg::rfci,pcalg,rfci,sufficient statistic,S4 object fciAlgo,https://cran.r-project.org/web/packages/pcalg/vignettes/vignette2018.pdf,https://www.jstatsoft.org/article/view/v047i11,NA,pcalg_rfci.R,NA,Constraint-based learning  from data where the data generating mechanism may include latent variables using the RFCI algorithm., Defaults to the stable version of the algorithm (i.e. less order dependence).,NA
4,pcalg::ges,pcalg,ges,R5 score object (which inputs data.frame),List with R5 object,https://cran.r-project.org/web/packages/pcalg/vignettes/vignette2018.pdf,https://cran.r-project.org/web/packages/pcalg/vignettes/pcalgDoc.pdf,NA,pcalg_ges.R,NA,Score-based learning  using the GES algorithm,NA,NA
5,pcalg::lingam,pcalg,lingam,data matrix,S3 object,https://cran.r-project.org/web/packages/pcalg/vignettes/vignette2018.pdf,NA,NA,pcalg_lingam.R,NA,Full identification of causal model for data where the data generating mechanism is linear with non-Gaussian errors,NA,NA
6,pcalg::fciPlus,pcalg,fciPlus,sufficient statistic,S4 object fciAlgo,https://cran.r-project.org/web/packages/pcalg/vignettes/vignette2018.pdf,NA,NA,pcalg_fciplus.R,NA,Constraint-based learning  from data where the data generating mechanism may include latent variables using the FCI+ algorithm., Defaults to the stable version of the algorithm (i.e. less order dependence).,NA
7,pgalg::ges as ARGES,pcalg,ges,R5 score object (which inputs data.frame),List with R5 object,https://cran.r-project.org/web/packages/pcalg/vignettes/vignette2018.pdf,https://cran.r-project.org/web/packages/pcalg/vignettes/pcalgDoc.pdf,NA,pcalg_arges.R,"adaptive = … , fixedgaps = … ",Hybrid learning using constraint-based learning of a skeleton and scores-based learning for edge orientation (GES),NA,NA
8,bnstruct::learn.network with sm,bnstruct,learn.network,BNDataset (S4),S4 object BN,https://cran.r-project.org/web/packages/bnstruct/vignettes/bnstruct.pdf,https://academic.oup.com/bioinformatics/article/33/8/1250/2730229,https://github.com/sambofra/bnstruct,bnstruct_sm.R,algo  = sm,Scored-based learning using the Silander-Myllymaki algorithm,"Claims to handle missing information, however it is imputed prior to causal structure learning and thus is not part of the learning procedure.","Allows for the user to specify restrictions in edge orientation by specifying a hierarchy of the nodes, corresponding to a grouped causal ordering."
9,bnstruct::learn.network with mmhc,bnstruct,learn.network,BNDataset (S4),S4 object BN,https://cran.r-project.org/web/packages/bnstruct/vignettes/bnstruct.pdf,https://academic.oup.com/bioinformatics/article/33/8/1250/2730229,https://github.com/sambofra/bnstruct,bnstruct_mmhc.R,algo = mmhc,Hybrid learning using the Max-Min Hill-Climbing algorithm.,"Claims to handle missing information, however it is imputed prior to causal structure learning and thus is not part of the learning procedure.","Allows for the user to specify restrictions in edge orientation by specifying a hierarchy of the nodes, corresponding to a grouped causal ordering."
10,bnstruct::learn.network with sem,bnstruct,learn.network,BNDataset (S4),S4 object BN,https://cran.r-project.org/web/packages/bnstruct/vignettes/bnstruct.pdf,https://academic.oup.com/bioinformatics/article/33/8/1250/2730229,https://github.com/sambofra/bnstruct,bnstruct_sem.R,algo = sem,Hybrid learning using the Structural Expectation-Maximization algorithm that combines the MMHC-algorithm with the EM algorithm in order to handle missing information.,"Claims to handle missing information, however it is imputed prior to causal structure learning and thus is not part of the learning procedure.","Allows for the user to specify restrictions in edge orientation by specifying a hierarchy of the nodes, corresponding to a grouped causal ordering."
11,bnlearn::gs,bnlearn,gs,data.frame,S3 object bn,http://www.bnlearn.com/,https://www.jstatsoft.org/article/view/v035i03,NA,bnlearn_gs.R,NA,Constraint-based learning using the Grow-Shrink algorithm.,NA,NA
12,bnlearn::iamb,bnlearn,iamb,data.frame,S3 object bn,http://www.bnlearn.com/,https://www.jstatsoft.org/article/view/v035i03,NA,bnlearn_iamb.R,NA,Constraint-based learning using the Incremental Association Markov Blanket algorithm.,NA,NA
13,bnlearn::fast.iamb,bnlearn,fast.iamb,data.frame,S3 object bn,http://www.bnlearn.com/,https://www.jstatsoft.org/article/view/v035i03,NA,bnlearn_fastiamb.R,NA,Constraint-based learning using the Fast Incremental Association algorithm.,NA,NA
14,bnlearn::inter.iamb,bnlearn,inter.iamb,data.frame,S3 object bn,http://www.bnlearn.com/,https://www.jstatsoft.org/article/view/v035i03,NA,bnlearn_interiamb.R,NA,Constraint-based learning using the Interleaved Incremental Association algorithm.,NA,NA
15,bnlearn::hc,bnlearn,hc,data.frame,S3 object bn,http://www.bnlearn.com/,https://www.jstatsoft.org/article/view/v035i03,NA,bnlearn_hc.R,NA,Scored-based learning using the Hill Climbing algorithm.,NA,NA
16,bnlearn::pc.stable,bnlearn,pc.stable,data.frame,S3 object bn,http://www.bnlearn.com/,NA,NA,bnlearn_pcstable.R,NA,Constraint-based learning using the stable (i.e. less order dependent) version of the PC algorithm.,NA,NA
17,bnlearn::si.hiton.pc,bnlearn,si.hiton.pc,data.frame,S3 object bn,http://www.bnlearn.com/,NA,NA,bnlearn_sihitonpc.R, undirected = FALSE,Constraint-based learning using the Semi-Interleaved Hiton-PC algorithm.,NA,NA
18,bnlearn::tabu,bnlearn,tabu,data.frame,S3 object bn,http://www.bnlearn.com/,NA,NA,bnlearn_tabu.R,NA,Score-based learning using the Tabu Search algorithm.,NA,NA
19,bnlearn::mmhc,bnlearn,mmhc,data.frame,S3 object bn,http://www.bnlearn.com/,NA,NA,bnlearn_mmhc.R,NA,Hybrid learning using the Max-Min Hill Climbing algorithm.,NA,NA
20,bnlearn::rsmax2,bnlearn,rsmax2,data.frame,S3 object bn,http://www.bnlearn.com/,NA,NA,bnlearn_rsmax2.R,NA,Hybrid learning using the General 2-Phase Restricted Maximization algorithm.,NA,NA
21,catnet::cnFind on output from catnet::cnSearchSA,catnet,cnFind,data.frame,S4 object catNetwork,https://cran.r-project.org/web/packages/catnet/vignettes/catnet.pdf,NA,NA,catnet_cnfind.R,NA,"Score-based learning using maximum likelihood scoring and a Dynamic Programming search strategy, allowing for missing information.",Missing information is handled by local complete case analysis on sets of variables. ,NA
22,stablespec::stableSpec,stablespec,stableSpec,data.frame,List including an S4 graphNEL object (from graph package),https://cran.r-project.org/web/packages/stablespec/stablespec.pdf,https://www.sciencedirect.com/science/article/pii/S0925231217317459,https://github.com/rahmarid/stablespec,stablespec_stablespec.R,longitudinal = FALSE,Score-based algorithm for structural equation models that uses stability selection for scoring.,NA,NA
23,deal::autosearch,deal,autosearch,S3 object network,List including an S3 network object,https://cran.r-project.org/web/packages/deal/deal.pdf,https://www.jstatsoft.org/article/view/v008i20,NA,deal_autosearch.R,NA,Baysian score-based learning with likelihood scoring and a greedy search strategy.,Bug for models with only numeric data. It is resolvable by inlcuding a trival categorical variable.,NA
24,deal::heuristic,deal,heuristic,S3 object network,List including an S3 network object,https://cran.r-project.org/web/packages/deal/deal.pdf,https://www.jstatsoft.org/article/view/v008i20,NA,deal_heuristic.R,NA,Baysian score-based learning with likelihood scoring and a greedy search strategy with restarts and random perturbations.,Bug for models with only numeric data. It is resolvable by inlcuding a trival categorical variable.,NA
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
